# upstream	https://github.com/erha19/ping-island.git
# commit	da130d679e830894240e926184d29751dfd2def1
path	disposition	license	ownership_and_action
PingIsland/App/WindowManager.swift	rewrite	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
PingIsland/Assets.xcassets/AccentColor.colorset/Contents.json	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/AppIcon.appiconset/Contents.json	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/AppIcon.appiconset/icon_1024x1024.png	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/AppIcon.appiconset/icon_128x128.png	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/AppIcon.appiconset/icon_16x16.png	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/AppIcon.appiconset/icon_256x256 1.png	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/AppIcon.appiconset/icon_256x256.png	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/AppIcon.appiconset/icon_32x32 1.png	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/AppIcon.appiconset/icon_32x32.png	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/AppIcon.appiconset/icon_512x512 1.png	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/AppIcon.appiconset/icon_512x512.png	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/AppIcon.appiconset/icon_64x64.png	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/ClaudeLogo.imageset/Contents.json	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/ClaudeLogo.imageset/claude-logo.png	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/CodeBuddyLogo.imageset/Contents.json	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/CodeBuddyLogo.imageset/codebuddy-logo.png	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/CodexLogo.imageset/Contents.json	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/CodexLogo.imageset/codex-logo.png	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/Contents.json	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/CopilotLogo.imageset/Contents.json	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/CopilotLogo.imageset/copilot-logo.png	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/CursorLogo.imageset/Contents.json	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/CursorLogo.imageset/cursor-logo.png	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/GeminiLogo.imageset/Contents.json	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/GeminiLogo.imageset/gemini-logo.png	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/HermesLogo.imageset/Contents.json	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/HermesLogo.imageset/hermes-logo.png	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/KimiLogo.imageset/Contents.json	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/KimiLogo.imageset/kimi-logo.png	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/OpenClawLogo.imageset/Contents.json	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/OpenClawLogo.imageset/openclaw-logo.png	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/OpenCodeLogo.imageset/Contents.json	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/OpenCodeLogo.imageset/opencode-logo.png	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/PiLogo.imageset/Contents.json	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/PiLogo.imageset/pi-logo.svg	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/QoderLogo.imageset/Contents.json	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/QoderLogo.imageset/qoder-logo.png	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/QoderWorkLogo.imageset/Contents.json	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/QoderWorkLogo.imageset/qoderwork-logo.png	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/QwenLogo.imageset/Contents.json	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/QwenLogo.imageset/qwen-logo.png	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/VSCodeLogo.imageset/Contents.json	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/VSCodeLogo.imageset/vscode-logo.png	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/WorkBuddyLogo.imageset/Contents.json	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Assets.xcassets/WorkBuddyLogo.imageset/workbuddy-logo.png	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Core/EnergyGovernor.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Core/Ext+NSScreen.swift	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
PingIsland/Core/FeatureFlags.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Core/IslandPresentation.swift	rewrite	Apache-2.0	reimplement in N1KO architecture and product identity; do not copy application shell
PingIsland/Core/NotchActivityCoordinator.swift	rewrite	Apache-2.0	reimplement in N1KO architecture and product identity; do not copy application shell
PingIsland/Core/NotchGeometry.swift	rewrite	Apache-2.0	reimplement in N1KO architecture and product identity; do not copy application shell
PingIsland/Core/NotchViewModel.swift	rewrite	Apache-2.0	reimplement in N1KO architecture and product identity; do not copy application shell
PingIsland/Core/ScreenNotchMetrics.swift	rewrite	Apache-2.0	reimplement in N1KO architecture and product identity; do not copy application shell
PingIsland/Core/ScreenSelector.swift	rewrite	Apache-2.0	reimplement in N1KO architecture and product identity; do not copy application shell
PingIsland/Core/Settings.swift	rewrite	Apache-2.0	reimplement in N1KO architecture and product identity; do not copy application shell
PingIsland/Core/SoundPackCatalog.swift	rewrite	Apache-2.0	reimplement in N1KO architecture and product identity; do not copy application shell
PingIsland/Core/SoundSelector.swift	rewrite	Apache-2.0	reimplement in N1KO architecture and product identity; do not copy application shell
PingIsland/Core/UserIdleAutoProtection.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Events/EventMonitor.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Events/EventMonitors.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Info-AppStore.plist	rewrite	Apache-2.0	reimplement in N1KO architecture and product identity; do not copy application shell
PingIsland/Info.plist	rewrite	Apache-2.0	reimplement in N1KO architecture and product identity; do not copy application shell
PingIsland/Models/ChatMessage.swift	reuse	Apache-2.0	selected logic may be copied with Apache notice and prominent modification marker
PingIsland/Models/ClientProfile.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Models/MascotStatus.swift	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
PingIsland/Models/SessionEvent.swift	reuse	Apache-2.0	selected logic may be copied with Apache notice and prominent modification marker
PingIsland/Models/SessionPhase.swift	reuse	Apache-2.0	selected logic may be copied with Apache notice and prominent modification marker
PingIsland/Models/SessionProvider.swift	reuse	Apache-2.0	selected logic may be copied with Apache notice and prominent modification marker
PingIsland/Models/SessionState.swift	reuse	Apache-2.0	selected logic may be copied with Apache notice and prominent modification marker
PingIsland/Models/TmuxTarget.swift	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
PingIsland/Models/ToolResultData.swift	reuse	Apache-2.0	selected logic may be copied with Apache notice and prominent modification marker
PingIsland/Resources/Fonts/Silkscreen-Bold.ttf	exclude-until-parity	OFL-1.1	do not bundle in first slice; OFL text is present but N1KO UI uses system typography
PingIsland/Resources/Fonts/Silkscreen-OFL.txt	exclude-until-parity	OFL-1.1	do not bundle in first slice; OFL text is present but N1KO UI uses system typography
PingIsland/Resources/PingIsland-AppStore.entitlements	rewrite	Apache-2.0	reimplement in N1KO architecture and product identity; do not copy application shell
PingIsland/Resources/PingIsland.entitlements	rewrite	Apache-2.0	reimplement in N1KO architecture and product identity; do not copy application shell
PingIsland/Resources/Sounds/8bit_approval_alert.wav	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Resources/Sounds/8bit_boot_jingle.wav	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Resources/Sounds/8bit_complete_ding.wav	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Resources/Sounds/8bit_error_buzz.wav	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Resources/Sounds/8bit_hurt.wav	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Resources/Sounds/8bit_item_pickup.wav	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Resources/Sounds/8bit_menu_highlight.wav	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Resources/Sounds/8bit_menu_select.wav	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Resources/Sounds/8bit_power_up.wav	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Resources/Sounds/8bit_start_chime.wav	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Resources/Sounds/8bit_submit_blip.wav	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Resources/Sounds/8bit_win_jingle.wav	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Resources/Sounds/bubbles_pop.wav	exclude-until-parity	asset-rights-unproven	do not migrate without per-asset provenance; replace with N1KO-owned resources if needed
PingIsland/Resources/en.lproj/InfoPlist.strings	rewrite	Apache-2.0	reimplement in N1KO architecture and product identity; do not copy application shell
PingIsland/Resources/en.lproj/Localizable.strings	rewrite	Apache-2.0	reimplement in N1KO architecture and product identity; do not copy application shell
PingIsland/Resources/zh-Hans.lproj/InfoPlist.strings	rewrite	Apache-2.0	reimplement in N1KO architecture and product identity; do not copy application shell
PingIsland/Resources/zh-Hans.lproj/Localizable.strings	rewrite	Apache-2.0	reimplement in N1KO architecture and product identity; do not copy application shell
PingIsland/Services/Analytics/TelemetryService.swift	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
PingIsland/Services/Chat/ChatHistoryManager.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Services/Codex/CodexAppServerMonitor.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Services/Codex/CodexRolloutParser.swift	reuse	Apache-2.0	selected logic may be copied with Apache notice and prominent modification marker
PingIsland/Services/Codex/CodexThreadSnapshot.swift	reuse	Apache-2.0	selected logic may be copied with Apache notice and prominent modification marker
PingIsland/Services/Diagnostics/DiagnosticsExporter.swift	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
PingIsland/Services/Diagnostics/FocusDiagnosticsStore.swift	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
PingIsland/Services/Hooks/BridgeRuntimeConfigWriter.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Services/Hooks/BridgeRuntimePaths.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Services/Hooks/HookInstaller.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Services/Hooks/HookSocketServer.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Services/Hooks/HookWalkthroughDemoRunner.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Services/Hooks/RecentInterventionResponseStore.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Services/Remote/RemoteConnectorManager.swift	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
PingIsland/Services/Remote/RemoteModels.swift	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
PingIsland/Services/Runtime/Claude/ClaudeRuntime.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Services/Runtime/Codex/CodexRuntime.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Services/Runtime/RuntimeCoordinator.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Services/Runtime/RuntimeSessionRegistry.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Services/Runtime/RuntimeSupportPaths.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Services/Runtime/SessionRuntime.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Services/Session/AgentFileWatcher.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Services/Session/ClaudeDesktopWatcher.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Services/Session/ConversationParser.swift	reuse	Apache-2.0	selected logic may be copied with Apache notice and prominent modification marker
PingIsland/Services/Session/JSONLInterruptWatcher.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Services/Session/SessionMonitor.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Services/Shared/ClientAppLocator.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Services/Shared/GlobalShortcutManager.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Services/Shared/ProcessExecutor.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Services/Shared/ProcessTreeBuilder.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Services/Shared/TerminalAppRegistry.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Services/State/FileSyncScheduler.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Services/State/SessionAssociationStore.swift	reuse	Apache-2.0	selected logic may be copied with Apache notice and prominent modification marker
PingIsland/Services/State/SessionStore.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Services/State/ToolEventProcessor.swift	reuse	Apache-2.0	selected logic may be copied with Apache notice and prominent modification marker
PingIsland/Services/Tmux/TmuxController.swift	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
PingIsland/Services/Tmux/TmuxPathFinder.swift	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
PingIsland/Services/Tmux/TmuxSessionMatcher.swift	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
PingIsland/Services/Tmux/TmuxTargetFinder.swift	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
PingIsland/Services/Tmux/ToolApprovalHandler.swift	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
PingIsland/Services/Update/NotchUserDriver.swift	exclude-until-parity	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
PingIsland/Services/Update/UpdateReleaseNotes.swift	exclude-until-parity	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
PingIsland/Services/Usage/AgentUsageAnalytics.swift	reuse	Apache-2.0	selected logic may be copied with Apache notice and prominent modification marker
PingIsland/Services/Usage/ClaudeTranscriptUsage.swift	reuse	Apache-2.0	selected logic may be copied with Apache notice and prominent modification marker
PingIsland/Services/Usage/ClaudeUsage.swift	reuse	Apache-2.0	selected logic may be copied with Apache notice and prominent modification marker
PingIsland/Services/Usage/CodexUsage.swift	reuse	Apache-2.0	selected logic may be copied with Apache notice and prominent modification marker
PingIsland/Services/Usage/UsageSnapshotCacheStore.swift	adapt-behind-protocol	Apache-2.0	port behavior behind N1KO-owned protocol; rename paths and remove singleton/product coupling
PingIsland/Services/Usage/UsageSummaryPresenter.swift	reuse	Apache-2.0	selected logic may be copied with Apache notice and prominent modification marker
PingIsland/Services/Window/IDEExtensionInstaller.swift	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
PingIsland/Services/Window/SessionLauncher.swift	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
PingIsland/Services/Window/TerminalAutomationPermissionCoordinator.swift	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
PingIsland/Services/Window/TerminalSessionFocuser.swift	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
PingIsland/Services/Window/WindowFinder.swift	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
PingIsland/Services/Window/WindowFocuser.swift	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
PingIsland/Services/Window/YabaiController.swift	exclude-until-parity	Apache-2.0	not in first Claude+Codex core slice; reconsider only in its dependency-satisfied parity package
PingIsland/UI/Components/ActionButton.swift	rewrite	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
PingIsland/UI/Components/GlobalShortcutHintView.swift	rewrite	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
PingIsland/UI/Components/IslandTextField.swift	rewrite	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
PingIsland/UI/Components/MarkdownRenderer.swift	rewrite	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
PingIsland/UI/Components/MascotView.swift	rewrite	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
PingIsland/UI/Components/NotchShape.swift	rewrite	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
PingIsland/UI/Components/PixelNumberView.swift	rewrite	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
PingIsland/UI/Components/ProcessingSpinner.swift	rewrite	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
PingIsland/UI/Components/ScreenPickerRow.swift	rewrite	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
PingIsland/UI/Components/SessionQuestionForm.swift	rewrite	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
PingIsland/UI/Components/SoundPickerRow.swift	rewrite	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
PingIsland/UI/Components/StatusIcons.swift	rewrite	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
PingIsland/UI/Components/TerminalColors.swift	rewrite	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
PingIsland/UI/Views/ChatView.swift	rewrite	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
PingIsland/UI/Views/CodexSessionView.swift	rewrite	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
PingIsland/UI/Views/DetachedIslandPanelView.swift	rewrite	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
PingIsland/UI/Views/IslandExpandedRoute.swift	rewrite	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
PingIsland/UI/Views/IslandOpenedContentView.swift	rewrite	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
PingIsland/UI/Views/MascotSettingsView.swift	rewrite	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
PingIsland/UI/Views/NotchHeaderView.swift	rewrite	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
PingIsland/UI/Views/NotchView.swift	rewrite	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
PingIsland/UI/Views/ReleaseNotesWindowView.swift	rewrite	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
PingIsland/UI/Views/SessionCompletionNotificationView.swift	rewrite	Apache-2.0	second app lifecycle/presentation/updater is forbidden; N1KO owns replacement
